pays,annee,icf,region,flag
ue27,1960,,Europe,🇪🇺
ue27,1961,,Europe,🇪🇺
ue27,1962,,Europe,🇪🇺
ue27,1963,,Europe,🇪🇺
ue27,1964,,Europe,🇪🇺
ue27,1965,,Europe,🇪🇺
ue27,1966,,Europe,🇪🇺
ue27,1967,,Europe,🇪🇺
ue27,1968,,Europe,🇪🇺
ue27,1969,,Europe,🇪🇺
ue27,1970,,Europe,🇪🇺
ue27,1971,,Europe,🇪🇺
ue27,1972,,Europe,🇪🇺
ue27,1973,,Europe,🇪🇺
ue27,1974,,Europe,🇪🇺
ue27,1975,,Europe,🇪🇺
ue27,1976,,Europe,🇪🇺
ue27,1977,,Europe,🇪🇺
ue27,1978,,Europe,🇪🇺
ue27,1979,,Europe,🇪🇺
ue27,1980,,Europe,🇪🇺
ue27,1981,,Europe,🇪🇺
ue27,1982,,Europe,🇪🇺
ue27,1983,,Europe,🇪🇺
ue27,1984,,Europe,🇪🇺
ue27,1985,,Europe,🇪🇺
ue27,1986,,Europe,🇪🇺
ue27,1987,,Europe,🇪🇺
ue27,1988,,Europe,🇪🇺
ue27,1989,,Europe,🇪🇺
ue27,1990,,Europe,🇪🇺
ue27,1991,,Europe,🇪🇺
ue27,1992,,Europe,🇪🇺
ue27,1993,,Europe,🇪🇺
ue27,1994,,Europe,🇪🇺
ue27,1995,,Europe,🇪🇺
ue27,1996,,Europe,🇪🇺
ue27,1997,,Europe,🇪🇺
ue27,1998,,Europe,🇪🇺
ue27,1999,,Europe,🇪🇺
ue27,2000,,Europe,🇪🇺
ue27,2001,1.43271,Europe,🇪🇺
ue27,2002,1.43133,Europe,🇪🇺
ue27,2003,1.44168,Europe,🇪🇺
ue27,2004,1.46415,Europe,🇪🇺
ue27,2005,1.47486,Europe,🇪🇺
ue27,2006,1.50241,Europe,🇪🇺
ue27,2007,1.52102,Europe,🇪🇺
ue27,2008,1.57166,Europe,🇪🇺
ue27,2009,1.56424,Europe,🇪🇺
ue27,2010,1.57158,Europe,🇪🇺
ue27,2011,1.53706,Europe,🇪🇺
ue27,2012,1.53692,Europe,🇪🇺
ue27,2013,1.50872,Europe,🇪🇺
ue27,2014,1.53985,Europe,🇪🇺
ue27,2015,1.54067,Europe,🇪🇺
ue27,2016,1.5707,Europe,🇪🇺
ue27,2017,1.5645,Europe,🇪🇺
ue27,2018,1.5447,Europe,🇪🇺
ue27,2019,1.52856,Europe,🇪🇺
ue27,2020,1.50894,Europe,🇪🇺
