Paysdenaissance,n2021,p2021,n2023,p2023
Portugal,591975,8.7,577000,7.9
Italie,282937,4.2,283100,3.9
Espagne,243448,3.6,231200,3.2
Autres pays de l’Union Européenne,622135,9.1,637600,8.8
Autres pays d’Europe,500568,7.4,623700,8.6
Algérie,866600,12.7,891700,12.2
Maroc,819025,12.0,853300,11.7
Tunisie,314854,4.6,346600,4.8
Autres pays d’Afrique,1148636,16.9,1382000,19.0
Turquie,243637,3.6,238500,3.3
Autres pays,1166258,17.2,1217000,16.7
Ensemble,6800072,100,7281700,100
