année,n,stat,statEn,type,stattype
1970,542,décès,deaths,Observations,décèsObservations
1971,554,décès,deaths,Observations,décèsObservations
1972,550,décès,deaths,Observations,décèsObservations
1973,559,décès,deaths,Observations,décèsObservations
1974,553,décès,deaths,Observations,décèsObservations
1975,560,décès,deaths,Observations,décèsObservations
1976,557,décès,deaths,Observations,décèsObservations
1977,536,décès,deaths,Observations,décèsObservations
1978,547,décès,deaths,Observations,décèsObservations
1979,542,décès,deaths,Observations,décèsObservations
1980,547,décès,deaths,Observations,décèsObservations
1981,555,décès,deaths,Observations,décèsObservations
1982,543,décès,deaths,Observations,décèsObservations
1983,560,décès,deaths,Observations,décèsObservations
1984,542,décès,deaths,Observations,décèsObservations
1985,552,décès,deaths,Observations,décèsObservations
1986,547,décès,deaths,Observations,décèsObservations
1987,527,décès,deaths,Observations,décèsObservations
1988,525,décès,deaths,Observations,décèsObservations
1989,529,décès,deaths,Observations,décèsObservations
1990,526,décès,deaths,Observations,décèsObservations
1991,525,décès,deaths,Observations,décèsObservations
1992,522,décès,deaths,Observations,décèsObservations
1993,532,décès,deaths,Observations,décèsObservations
1994,528,décès,deaths,Observations,décèsObservations
1995,540,décès,deaths,Observations,décèsObservations
1996,545,décès,deaths,Observations,décèsObservations
1997,539,décès,deaths,Observations,décèsObservations
1998,543,décès,deaths,Observations,décèsObservations
1999,547,décès,deaths,Observations,décèsObservations
2000,541,décès,deaths,Observations,décèsObservations
2001,541,décès,deaths,Observations,décèsObservations
2002,545,décès,deaths,Observations,décèsObservations
2003,562,décès,deaths,Observations,décèsObservations
2004,519,décès,deaths,Observations,décèsObservations
2005,538,décès,deaths,Observations,décèsObservations
2006,527,décès,deaths,Observations,décèsObservations
2007,531,décès,deaths,Observations,décèsObservations
2008,543,décès,deaths,Observations,décèsObservations
2009,549,décès,deaths,Observations,décèsObservations
2010,551,décès,deaths,Observations,décèsObservations
2011,545,décès,deaths,Observations,décèsObservations
2012,570,décès,deaths,Observations,décèsObservations
2013,569,décès,deaths,Observations,décèsObservations
2014,559,décès,deaths,Observations,décèsObservations
2015,594,décès,deaths,Observations,décèsObservations
2016,594,décès,deaths,Observations,décèsObservations
2017,606,décès,deaths,Observations,décèsObservations
2018,610,décès,deaths,Observations,décèsObservations
2019,613,décès,deaths,Observations,décèsObservations
2020,669,décès,deaths,Observations,décèsObservations
2021,662,décès,deaths,Observations,décèsObservations
2022,675,décès,deaths,Observations,décèsObservations
2023,639,décès,deaths,Observations,décèsObservations
2024,646,décès,deaths,Observations,décèsObservations
2025,649,décès,deaths,Projections,décèsProjections
2026,660,décès,deaths,Projections,décèsProjections
2027,670,décès,deaths,Projections,décèsProjections
2028,680,décès,deaths,Projections,décèsProjections
2029,690,décès,deaths,Projections,décèsProjections
2030,701,décès,deaths,Projections,décèsProjections
2031,712,décès,deaths,Projections,décèsProjections
2032,723,décès,deaths,Projections,décèsProjections
2033,735,décès,deaths,Projections,décèsProjections
2034,748,décès,deaths,Projections,décèsProjections
2035,761,décès,deaths,Projections,décèsProjections
2036,774,décès,deaths,Projections,décèsProjections
2037,786,décès,deaths,Projections,décèsProjections
2038,799,décès,deaths,Projections,décèsProjections
2039,810,décès,deaths,Projections,décèsProjections
2040,820,décès,deaths,Projections,décèsProjections
2041,829,décès,deaths,Projections,décèsProjections
2042,837,décès,deaths,Projections,décèsProjections
2043,843,décès,deaths,Projections,décèsProjections
2044,847,décès,deaths,Projections,décèsProjections
2045,851,décès,deaths,Projections,décèsProjections
2046,853,décès,deaths,Projections,décèsProjections
2047,854,décès,deaths,Projections,décèsProjections
