icf,pays,_
1969,Italie,2.46351
1970,Italie,2.38282
1971,Italie,2.397
1972,Italie,2.34727
1973,Italie,2.30494
1974,Italie,2.28452
1975,Italie,2.17081
1976,Italie,2.04374
1977,Italie,1.93148
1978,Italie,1.83963
1979,Italie,1.7291
1980,Italie,1.64119
1981,Italie,1.58481
1982,Italie,1.56163
1983,Italie,1.50594
1984,Italie,1.45742
1985,Italie,1.41824
1986,Italie,1.35105
1987,Italie,1.32873
1988,Italie,1.36047
1989,Italie,1.32617
1990,Italie,1.3343
1991,Italie,1.30225
1992,Italie,1.30022
1993,Italie,1.25202
1994,Italie,1.21064
1995,Italie,1.19215
1996,Italie,1.19727
1997,Italie,1.21287
1998,Italie,1.21359
1999,Italie,1.23308
2000,Italie,1.25688
2001,Italie,1.25097
2002,Italie,1.27042
2003,Italie,1.28843
2004,Italie,1.34052
2005,Italie,1.33371
2006,Italie,1.3676
2007,Italie,1.393
2008,Italie,1.43797
2009,Italie,1.43716
2010,Italie,1.44063
2011,Italie,1.42436
2012,Italie,1.41804
2013,Italie,1.38871
2014,Italie,1.3843
2015,Italie,1.36496
2016,Italie,1.35717
2017,Italie,1.33744
2018,Italie,1.30586
2019,Italie,1.26702
2020,Italie,1.24459
2021,Italie,1.25223
2022,Italie,1.24272
2023,Italie,1.20579
1960,Hongrie,2.02241
1961,Hongrie,1.93701
1962,Hongrie,1.79209
1963,Hongrie,1.82055
1964,Hongrie,1.81538
1965,Hongrie,1.82191
1966,Hongrie,1.88682
1967,Hongrie,2.0117
1968,Hongrie,2.06325
1969,Hongrie,2.03826
1970,Hongrie,1.97932
1971,Hongrie,1.92973
1972,Hongrie,1.92742
1973,Hongrie,1.92916
1974,Hongrie,2.27164
1975,Hongrie,2.34796
1976,Hongrie,2.23323
1977,Hongrie,2.15288
1978,Hongrie,2.06493
1979,Hongrie,2.01178
1980,Hongrie,1.91266
1981,Hongrie,1.87544
1982,Hongrie,1.79502
1983,Hongrie,1.74626
1984,Hongrie,1.7545
1985,Hongrie,1.84817
1986,Hongrie,1.83835
1987,Hongrie,1.81954
1988,Hongrie,1.80843
1989,Hongrie,1.8179
1990,Hongrie,1.86671
1991,Hongrie,1.87349
1992,Hongrie,1.77341
1993,Hongrie,1.68416
1994,Hongrie,1.63921
1995,Hongrie,1.5688
1996,Hongrie,1.45591
1997,Hongrie,1.37484
1998,Hongrie,1.32415
1999,Hongrie,1.28184
2000,Hongrie,1.31887
2001,Hongrie,1.30858
2002,Hongrie,1.30263
2003,Hongrie,1.2718
2004,Hongrie,1.27586
2005,Hongrie,1.30646
2006,Hongrie,1.3399
2007,Hongrie,1.31579
2008,Hongrie,1.34746
2009,Hongrie,1.32118
2010,Hongrie,1.24982
2011,Hongrie,1.23322
2012,Hongrie,1.33735
2013,Hongrie,1.35128
2014,Hongrie,1.43752
2015,Hongrie,1.44697
2016,Hongrie,1.53106
2017,Hongrie,1.54418
2018,Hongrie,1.54551
2019,Hongrie,1.55471
2020,Hongrie,1.58595
2021,Hongrie,1.6053
2022,Hongrie,1.55832
2023,Hongrie,1.54857
1960,Pays-Bas,3.12124
1961,Pays-Bas,3.21658
1962,Pays-Bas,3.17516
1963,Pays-Bas,3.19201
1964,Pays-Bas,3.16504
1965,Pays-Bas,3.03825
1966,Pays-Bas,2.90202
1967,Pays-Bas,2.81356
1968,Pays-Bas,2.71528
1969,Pays-Bas,2.74786
1970,Pays-Bas,2.57166
1971,Pays-Bas,2.36106
1972,Pays-Bas,2.15017
1973,Pays-Bas,1.90412
1974,Pays-Bas,1.77348
1975,Pays-Bas,1.66426
1976,Pays-Bas,1.63204
1977,Pays-Bas,1.57927
1978,Pays-Bas,1.5833
1979,Pays-Bas,1.56277
1980,Pays-Bas,1.60203
1981,Pays-Bas,1.5633
1982,Pays-Bas,1.49523
1983,Pays-Bas,1.46756
1984,Pays-Bas,1.49123
1985,Pays-Bas,1.51132
1986,Pays-Bas,1.55311
1987,Pays-Bas,1.55833
1988,Pays-Bas,1.54508
1989,Pays-Bas,1.55425
1990,Pays-Bas,1.6174
1991,Pays-Bas,1.61209
1992,Pays-Bas,1.58745
1993,Pays-Bas,1.57241
1994,Pays-Bas,1.5696
1995,Pays-Bas,1.53167
1996,Pays-Bas,1.52906
1997,Pays-Bas,1.56237
1998,Pays-Bas,1.62806
1999,Pays-Bas,1.65188
2000,Pays-Bas,1.72233
2001,Pays-Bas,1.70953
2002,Pays-Bas,1.73066
2003,Pays-Bas,1.74623
2004,Pays-Bas,1.72487
2005,Pays-Bas,1.70751
2006,Pays-Bas,1.71922
2007,Pays-Bas,1.7167
2008,Pays-Bas,1.77185
2009,Pays-Bas,1.78933
2010,Pays-Bas,1.79434
2011,Pays-Bas,1.75831
2012,Pays-Bas,1.72213
2013,Pays-Bas,1.67843
2014,Pays-Bas,1.71233
2015,Pays-Bas,1.65772
2016,Pays-Bas,1.66277
2017,Pays-Bas,1.61886
2018,Pays-Bas,1.58618
2019,Pays-Bas,1.57402
2020,Pays-Bas,1.54489
2021,Pays-Bas,1.62419
2022,Pays-Bas,1.48643
2023,Pays-Bas,1.42977
1960,Pologne,
1961,Pologne,
1962,Pologne,
1963,Pologne,
1964,Pologne,
1965,Pologne,
1966,Pologne,
1967,Pologne,
1968,Pologne,
1969,Pologne,
1970,Pologne,
1971,Pologne,
1972,Pologne,
1973,Pologne,
1974,Pologne,
1975,Pologne,
1976,Pologne,
1977,Pologne,
1978,Pologne,
1979,Pologne,
1980,Pologne,
1981,Pologne,
1982,Pologne,
1983,Pologne,
1984,Pologne,
1985,Pologne,
1986,Pologne,
1987,Pologne,
1988,Pologne,
1989,Pologne,
1990,Pologne,2.05981
1991,Pologne,2.07218
1992,Pologne,1.95256
1993,Pologne,1.86685
1994,Pologne,1.80875
1995,Pologne,1.61914
1996,Pologne,1.58719
1997,Pologne,1.51422
1998,Pologne,1.4356
1999,Pologne,1.36897
2000,Pologne,1.36676
2001,Pologne,1.31494
2002,Pologne,1.2479
2003,Pologne,1.22241
2004,Pologne,1.22658
2005,Pologne,1.24258
2006,Pologne,1.26672
2007,Pologne,1.30626
2008,Pologne,1.38998
2009,Pologne,1.39757
2010,Pologne,1.41311
2011,Pologne,1.33118
2012,Pologne,1.33214
2013,Pologne,1.28716
2014,Pologne,1.32071
2015,Pologne,1.31811
2016,Pologne,1.38513
2017,Pologne,1.48016
2018,Pologne,1.45845
2019,Pologne,1.43875
2020,Pologne,1.39491
2021,Pologne,1.3342
2022,Pologne,1.28602
2023,Pologne,1.20183
1960,Portugal,3.16273
1961,Portugal,3.2053
1962,Portugal,3.23406
1963,Portugal,3.12253
1964,Portugal,3.2135
1965,Portugal,3.14975
1966,Portugal,3.1611
1967,Portugal,3.15827
1968,Portugal,3.12224
1969,Portugal,3.12193
1970,Portugal,3.00732
1971,Portugal,3.00307
1972,Portugal,2.85944
1973,Portugal,2.771
1974,Portugal,2.69576
1975,Portugal,2.75195
1976,Portugal,2.81597
1977,Portugal,2.68849
1978,Portugal,2.45058
1979,Portugal,2.31478
1980,Portugal,2.25131
1981,Portugal,2.12997
1982,Portugal,2.07496
1983,Portugal,1.95087
1984,Portugal,1.902
1985,Portugal,1.72094
1986,Portugal,1.66192
1987,Portugal,1.61814
1988,Portugal,1.60983
1989,Portugal,1.57243
1990,Portugal,1.55649
1991,Portugal,1.56165
1992,Portugal,1.53852
1993,Portugal,1.5173
1994,Portugal,1.44591
1995,Portugal,1.40988
1996,Portugal,1.44401
1997,Portugal,1.47292
1998,Portugal,1.47375
1999,Portugal,1.50214
2000,Portugal,1.54889
2001,Portugal,1.44941
2002,Portugal,1.46448
2003,Portugal,1.43894
2004,Portugal,1.40365
2005,Portugal,1.41356
2006,Portugal,1.37297
2007,Portugal,1.34866
2008,Portugal,1.39235
2009,Portugal,1.34348
2010,Portugal,1.38969
2011,Portugal,1.34672
2012,Portugal,1.28038
2013,Portugal,1.21268
2014,Portugal,1.23537
2015,Portugal,1.31229
2016,Portugal,1.36665
2017,Portugal,1.38424
2018,Portugal,1.42352
2019,Portugal,1.43696
2020,Portugal,1.4199
2021,Portugal,1.35124
2022,Portugal,1.42574
2023,Portugal,1.4477
1960,Suède,
1961,Suède,
1962,Suède,
1963,Suède,
1964,Suède,
1965,Suède,
1966,Suède,
1967,Suède,
1968,Suède,2.07315
1969,Suède,1.92822
1970,Suède,1.92069
1971,Suède,1.96131
1972,Suède,1.9111
1973,Suède,1.86604
1974,Suède,1.87345
1975,Suède,1.76743
1976,Suède,1.68112
1977,Suède,1.64414
1978,Suède,1.59797
1979,Suède,1.65553
1980,Suède,1.67722
1981,Suède,1.6339
1982,Suède,1.62048
1983,Suède,1.61262
1984,Suède,1.65569
1985,Suède,1.73916
1986,Suède,1.79991
1987,Suède,1.843
1988,Suède,1.96188
1989,Suède,2.01422
1990,Suède,2.13116
1991,Suède,2.11232
1992,Suède,2.08615
1993,Suède,1.99315
1994,Suède,1.88265
1995,Suède,1.73046
1996,Suède,1.59857
1997,Suède,1.52463
1998,Suède,1.50481
1999,Suède,1.4984
2000,Suède,1.54399
2001,Suède,1.56715
2002,Suède,1.64908
2003,Suède,1.7122
2004,Suède,1.7519
2005,Suède,1.76907
2006,Suède,1.85374
2007,Suède,1.87907
2008,Suède,1.90683
2009,Suède,1.9354
2010,Suède,1.98496
2011,Suède,1.90133
2012,Suède,1.90549
2013,Suède,1.88834
2014,Suède,1.88067
2015,Suède,1.84875
2016,Suède,1.85344
2017,Suède,1.78415
2018,Suède,1.75652
2019,Suède,1.70974
2020,Suède,1.66899
2021,Suède,1.67306
2022,Suède,1.5252
2023,Suède,1.45338
1960,Etats-unis,3.73
1961,Etats-unis,3.69
1962,Etats-unis,3.53
1963,Etats-unis,3.39
1964,Etats-unis,3.26
1965,Etats-unis,2.98
1966,Etats-unis,2.77
1967,Etats-unis,2.6
1968,Etats-unis,2.51
1969,Etats-unis,2.5
1970,Etats-unis,2.51
1971,Etats-unis,2.32
1972,Etats-unis,2.06
1973,Etats-unis,1.92
1974,Etats-unis,1.87
1975,Etats-unis,1.81
1976,Etats-unis,1.79
1977,Etats-unis,1.83
1978,Etats-unis,1.8
1979,Etats-unis,1.84
1980,Etats-unis,1.86
1981,Etats-unis,1.85
1982,Etats-unis,1.86
1983,Etats-unis,1.83
1984,Etats-unis,1.83
1985,Etats-unis,1.85
1986,Etats-unis,1.85
1987,Etats-unis,1.89
1988,Etats-unis,1.94
1989,Etats-unis,2.01
1990,Etats-unis,2.07
1991,Etats-unis,2.06
1992,Etats-unis,2.04
1993,Etats-unis,2.01
1994,Etats-unis,1.99
1995,Etats-unis,1.97
1996,Etats-unis,1.96
1997,Etats-unis,1.96
1998,Etats-unis,1.98
1999,Etats-unis,1.99
2000,Etats-unis,2.03
2001,Etats-unis,2.01
2002,Etats-unis,2
2003,Etats-unis,2.03
2004,Etats-unis,2.03
2005,Etats-unis,2.04
2006,Etats-unis,2.09
2007,Etats-unis,2.1
2008,Etats-unis,2.05
2009,Etats-unis,1.99
2010,Etats-unis,1.92
2011,Etats-unis,1.88
2012,Etats-unis,1.86
2013,Etats-unis,1.84
2014,Etats-unis,1.85
2015,Etats-unis,1.83
2016,Etats-unis,1.8
2017,Etats-unis,1.75
2018,Etats-unis,1.71
2019,Etats-unis,1.68
2020,Etats-unis,1.62
2021,Etats-unis,1.63
2022,Etats-unis,1.67
2023,Etats-unis,1.62
1960,Japon,1.98
1961,Japon,1.93
1962,Japon,1.93
1963,Japon,1.95
1964,Japon,2
1965,Japon,2.09
1966,Japon,1.63
1967,Japon,2.16
1968,Japon,2.07
1969,Japon,2.03
1970,Japon,2.04
1971,Japon,2.09
1972,Japon,2.11
1973,Japon,2.15
1974,Japon,2.07
1975,Japon,1.92
1976,Japon,1.84
1977,Japon,1.79
1978,Japon,1.79
1979,Japon,1.77
1980,Japon,1.74
1981,Japon,1.72
1982,Japon,1.74
1983,Japon,1.77
1984,Japon,1.78
1985,Japon,1.74
1986,Japon,1.7
1987,Japon,1.67
1988,Japon,1.63
1989,Japon,1.55
1990,Japon,1.51
1991,Japon,1.5
1992,Japon,1.48
1993,Japon,1.44
1994,Japon,1.47
1995,Japon,1.41
1996,Japon,1.4
1997,Japon,1.38
1998,Japon,1.37
1999,Japon,1.34
2000,Japon,1.35
2001,Japon,1.32
2002,Japon,1.31
2003,Japon,1.29
2004,Japon,1.28
2005,Japon,1.25
2006,Japon,1.28
2007,Japon,1.31
2008,Japon,1.33
2009,Japon,1.33
2010,Japon,1.36
2011,Japon,1.36
2012,Japon,1.38
2013,Japon,1.39
2014,Japon,1.39
2015,Japon,1.42
2016,Japon,1.41
2017,Japon,1.39
2018,Japon,1.37
2019,Japon,1.32
2020,Japon,1.3
2021,Japon,1.27
2022,Japon,1.26
2023,Japon,1.21
