annee,pays,icf,flag,paysFlag,paysFlagEn
2000,Portugal,1.54889,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2001,Portugal,1.48,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2002,Portugal,1.46,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2003,Portugal,1.44,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2004,Portugal,1.4,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2005,Portugal,1.41,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2006,Portugal,1.37,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2007,Portugal,1.35,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2008,Portugal,1.39,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2009,Portugal,1.34,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2010,Portugal,1.39,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2011,Portugal,1.35,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2012,Portugal,1.28,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2013,Portugal,1.21,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2014,Portugal,1.24,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2015,Portugal,1.31,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2016,Portugal,1.37,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2017,Portugal,1.38,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2018,Portugal,1.42,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2019,Portugal,1.44,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2020,Portugal,1.42,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2021,Portugal,1.35,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2022,Portugal,1.43,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2023,Portugal,1.45,🇵🇹,Portugal 🇵🇹,Portugal 🇵🇹
2000,Pays-Bas,1.72,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2001,Pays-Bas,1.71,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2002,Pays-Bas,1.73,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2003,Pays-Bas,1.75,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2004,Pays-Bas,1.72,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2005,Pays-Bas,1.71,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2006,Pays-Bas,1.72,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2007,Pays-Bas,1.72,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2008,Pays-Bas,1.77,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2009,Pays-Bas,1.79,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2010,Pays-Bas,1.79,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2011,Pays-Bas,1.76,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2012,Pays-Bas,1.72,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2013,Pays-Bas,1.68,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2014,Pays-Bas,1.71,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
