annee,generation,indic,n
1991,1975,Descendance finale,203.3
1992,1976,Descendance finale,203.9
1993,1977,Descendance finale,205.8
1994,1978,Descendance finale,206.2
1995,1979,Descendance finale,207.4
1996,1980,Descendance finale,205.4
1997,1981,Descendance finale,205.8
1998,1982,Descendance finale,205.9
1999,1983,Descendance finale,205.5
2000,1984,Descendance finale,205.2
2001,1985,Descendance finale,203.7
2002,1986,Descendance finale,202.6
2003,1987,Descendance finale,200.6
