revenu,revenuEn,enfmoy,enf0,enf1,enf2,enf3,enfplus,tot
1er cinquième (843€),1st fifth (843€),2.089999914169312,13.5,21.39999961853027,30.60000038146973,19.70000076293945,14.80000019073486,100
2e cinquième (1339€),"2nd fifth (1,339€)",1.610000014305115,23.5,24.29999923706055,31.20000076293945,14,7,100
3e cinquième (1708€),"3rd fifth (1,708€)",1.580000042915344,21.10000038146973,22.70000076293945,38.59999847412109,13.39999961853027,4.199999809265137,100
4e cinquième (2143€),"4th fifth (2,143€)",1.779999971389771,14.30000019073486,18.89999961853027,47,15.80000019073486,4,100
5e cinquième (3629€),"5th fifth (3,629€)",1.879999995231628,10.10000038146973,17.10000038146973,52,17.20000076293945,3.599999904632568,100
